variant,seed,box_mAP50,box_mAP50_95,mask_P,mask_R,mask_mAP50,mask_mAP50_95,inference_ms,fps
n,0,0.75672,0.56286,0.83261,0.71,0.75243,0.5169,2.3468,426.11
n,1,0.74861,0.55938,0.82156,0.69226,0.74542,0.51413,1.7373,575.61
n,2,0.75052,0.56033,0.80213,0.70234,0.74727,0.51444,2.0242,494.03
n,3,0.75086,0.56153,0.83798,0.67115,0.74373,0.51022,2.1346,468.48
n,4,0.77012,0.57678,0.84661,0.71529,0.76444,0.52745,1.5745,635.12
s,0,0.78088,0.58376,0.85532,0.71658,0.77571,0.54065,2.417,413.73
s,1,0.7847,0.59,0.83742,0.72202,0.77732,0.54293,2.7872,358.78
s,2,0.76372,0.57627,0.81887,0.71871,0.75971,0.53541,2.3598,423.77
s,3,0.76563,0.5733,0.80151,0.71315,0.76139,0.53122,1.7456,572.88
s,4,0.76162,0.57681,0.85975,0.70476,0.7622,0.53113,2.0139,496.54
m,0,0.77492,0.58922,0.84966,0.71715,0.77461,0.54093,3.1383,318.65
m,1,0.78309,0.59093,0.84356,0.73675,0.77926,0.5438,3.2119,311.34
m,2,0.77356,0.58165,0.79629,0.73116,0.7602,0.53383,3.1426,318.21
m,3,0.77191,0.59425,0.82756,0.76185,0.77165,0.55095,3.3891,295.06
m,4,0.78239,0.59406,0.86126,0.73864,0.7765,0.54653,2.9373,340.44
l,0,0.78101,0.59414,0.83888,0.73356,0.77857,0.54889,4.2882,233.2
l,1,0.78596,0.60291,0.83865,0.72776,0.7721,0.54983,3.3561,297.96
l,2,0.78648,0.59592,0.83119,0.7408,0.77117,0.54632,3.457,289.27
l,3,0.773,0.59003,0.85111,0.71757,0.77189,0.54296,3.3247,300.78
l,4,0.77639,0.59981,0.85008,0.74069,0.77368,0.54648,4.3359,230.63
x,0,0.78422,0.5993,0.80382,0.74491,0.77134,0.54264,4.4684,223.8
x,1,0.7756,0.586,0.83122,0.71105,0.75837,0.53312,5.2414,190.79
x,2,0.78598,0.6056,0.85386,0.74792,0.78078,0.55829,5.4394,183.84
x,3,0.77898,0.60259,0.85173,0.73175,0.77653,0.54868,4.9106,203.64
x,4,0.77732,0.5912,0.82958,0.70335,0.76601,0.54009,5.0698,197.25
