variant,seed,class,box_mAP50,box_mAP50_95,mask_P,mask_R,mask_mAP50,mask_mAP50_95
n,0,Instrument,0.94181,0.85165,0.91365,0.92584,0.95688,0.84209
n,0,Bone,0.83968,0.64541,0.88281,0.812,0.83454,0.61475
n,0,LF,0.82985,0.67226,0.85056,0.81494,0.83189,0.62201
n,0,SoftTissue,0.66525,0.4478,0.80124,0.61628,0.66058,0.40289
n,0,Vessel,0.70562,0.46635,0.81917,0.59666,0.67673,0.31645
n,0,Dura,0.71287,0.49201,0.81982,0.64116,0.69266,0.42632
n,0,Fat,0.6494,0.38264,0.78537,0.60705,0.65142,0.35081
n,0,BF,0.63097,0.29865,0.77082,0.56154,0.6322,0.2777
n,0,Care,0.835,0.809,0.85005,0.81457,0.835,0.79907
n,1,Instrument,0.92852,0.85555,0.94767,0.93125,0.94087,0.84701
n,1,Bone,0.8523,0.66043,0.88816,0.83832,0.85114,0.62022
n,1,LF,0.82974,0.66817,0.87262,0.81169,0.83773,0.6322
n,1,SoftTissue,0.6486,0.4416,0.7705,0.60174,0.64681,0.39691
n,1,Vessel,0.70938,0.46637,0.84524,0.5895,0.67054,0.32321
n,1,Dura,0.70899,0.50129,0.81326,0.61214,0.70183,0.43305
n,1,Fat,0.65549,0.37761,0.78187,0.60829,0.66169,0.34192
n,1,BF,0.58713,0.29807,0.80083,0.52308,0.61855,0.2711
n,1,Care,0.81731,0.76531,0.67386,0.71429,0.77962,0.76154
n,2,Instrument,0.94273,0.85863,0.94865,0.92367,0.95148,0.84527
n,2,Bone,0.82805,0.62988,0.86417,0.80006,0.83626,0.61007
n,2,LF,0.82515,0.66157,0.85965,0.80519,0.82944,0.62241
n,2,SoftTissue,0.6759,0.45481,0.7892,0.60756,0.66663,0.3948
n,2,Vessel,0.68629,0.45027,0.77246,0.57524,0.65215,0.30938
n,2,Dura,0.69474,0.4867,0.82389,0.61718,0.67824,0.41767
n,2,Fat,0.64494,0.37743,0.76407,0.6119,0.64764,0.34464
n,2,BF,0.60186,0.3082,0.78351,0.52308,0.60857,0.2673
n,2,Care,0.855,0.8155,0.61361,0.85714,0.855,0.8184
n,3,Instrument,0.942,0.8553,0.96609,0.9125,0.94674,0.85652
n,3,Bone,0.84692,0.63767,0.88797,0.82036,0.84875,0.60904
n,3,LF,0.83747,0.67372,0.90524,0.78247,0.83669,0.62594
n,3,SoftTissue,0.66473,0.44504,0.79927,0.59031,0.65938,0.40279
n,3,Vessel,0.70596,0.46389,0.86068,0.54893,0.66614,0.30859
n,3,Dura,0.71306,0.50561,0.82153,0.60422,0.68721,0.4347
n,3,Fat,0.66605,0.38609,0.79486,0.58924,0.65741,0.34243
n,3,BF,0.59653,0.31082,0.75654,0.47808,0.60625,0.26334
n,3,Care,0.785,0.77567,0.74964,0.71429,0.785,0.74867
n,4,Instrument,0.94299,0.86794,0.92523,0.9375,0.95765,0.85047
n,4,Bone,0.84136,0.6584,0.87663,0.80838,0.84051,0.61777
n,4,LF,0.83476,0.66348,0.87574,0.80091,0.83314,0.6254
n,4,SoftTissue,0.64572,0.44485,0.78904,0.59302,0.64874,0.39556
n,4,Vessel,0.70968,0.45865,0.80952,0.57518,0.65789,0.31287
n,4,Dura,0.71262,0.50446,0.82147,0.64116,0.69581,0.43186
n,4,Fat,0.65884,0.3775,0.76456,0.60369,0.64848,0.34302
n,4,BF,0.59009,0.3077,0.75733,0.53846,0.60274,0.2639
n,4,Care,0.995,0.908,1.0,0.93932,0.995,0.90617
s,0,Instrument,0.93229,0.86802,0.93998,0.91875,0.94603,0.85896
s,0,Bone,0.85372,0.66007,0.89161,0.82635,0.85662,0.62655
s,0,LF,0.83795,0.67175,0.87658,0.784,0.83086,0.63876
s,0,SoftTissue,0.67872,0.45166,0.81584,0.61816,0.66589,0.41244
s,0,Vessel,0.7546,0.4923,0.85356,0.626,0.73012,0.34849
s,0,Dura,0.70255,0.49998,0.81741,0.61214,0.68471,0.43437
s,0,Fat,0.6768,0.3969,0.82227,0.64516,0.6941,0.36428
s,0,BF,0.66089,0.32906,0.77074,0.56154,0.64271,0.28181
s,0,Care,0.93038,0.88414,0.90991,0.85714,0.93038,0.90023
s,1,Instrument,0.93491,0.85639,0.93563,0.90846,0.94936,0.85566
s,1,Bone,0.86795,0.6737,0.85676,0.82377,0.85909,0.62575
s,1,LF,0.83561,0.67458,0.86702,0.81169,0.84168,0.64251
s,1,SoftTissue,0.6726,0.44843,0.79807,0.61919,0.66291,0.40241
s,1,Vessel,0.75072,0.48431,0.80375,0.64439,0.71133,0.34073
s,1,Dura,0.69312,0.48428,0.77499,0.63325,0.66083,0.42053
s,1,Fat,0.6819,0.40884,0.76325,0.65438,0.6786,0.37349
s,1,BF,0.63044,0.31248,0.73732,0.58299,0.63706,0.28079
s,1,Care,0.995,0.967,1.0,0.82007,0.995,0.9445
s,2,Instrument,0.92319,0.85393,0.9239,0.91056,0.93111,0.84639
s,2,Bone,0.85466,0.66481,0.86709,0.83234,0.85072,0.62834
s,2,LF,0.83586,0.68019,0.84385,0.78571,0.82843,0.64117
s,2,SoftTissue,0.66483,0.46607,0.75819,0.61071,0.65456,0.41359
s,2,Vessel,0.74267,0.48958,0.8326,0.63723,0.70332,0.34067
s,2,Dura,0.70519,0.49269,0.82324,0.6513,0.69757,0.43034
s,2,Fat,0.67618,0.39933,0.75239,0.64977,0.68103,0.37224
s,2,BF,0.60844,0.31652,0.72119,0.59231,0.62822,0.2835
s,2,Care,0.86246,0.8233,0.84737,0.79851,0.86246,0.86246
s,3,Instrument,0.93462,0.85555,0.94011,0.91875,0.93846,0.85842
s,3,Bone,0.83477,0.63258,0.8889,0.80838,0.83281,0.61698
s,3,LF,0.82669,0.67178,0.87061,0.79545,0.83028,0.64065
s,3,SoftTissue,0.6637,0.44023,0.77202,0.625,0.65492,0.3974
s,3,Vessel,0.73986,0.48005,0.79844,0.60143,0.69678,0.33213
s,3,Dura,0.69694,0.49552,0.80434,0.63852,0.6906,0.43775
s,3,Fat,0.66249,0.3871,0.72639,0.60138,0.65684,0.3523
s,3,BF,0.61362,0.29918,0.74003,0.54615,0.63382,0.2706
s,3,Care,0.918,0.8977,0.67277,0.88328,0.918,0.8747
s,4,Instrument,0.93678,0.85334,0.95495,0.92742,0.93863,0.85859
s,4,Bone,0.85058,0.65446,0.90104,0.81783,0.85787,0.63714
s,4,LF,0.82494,0.67831,0.88168,0.79837,0.83186,0.64065
s,4,SoftTissue,0.65381,0.44847,0.82068,0.62528,0.6545,0.4145
s,4,Vessel,0.74971,0.49879,0.85157,0.63246,0.72731,0.34606
s,4,Dura,0.70121,0.51102,0.81731,0.63588,0.69514,0.44775
s,4,Fat,0.65813,0.39551,0.82017,0.64516,0.67276,0.3552
s,4,BF,0.65944,0.34192,0.78241,0.54615,0.66176,0.29582
s,4,Care,0.82,0.8095,0.90796,0.71429,0.82,0.7845
m,0,Instrument,0.94487,0.87925,0.96725,0.925,0.95203,0.87439
m,0,Bone,0.84124,0.66765,0.90989,0.80838,0.85059,0.62677
m,0,LF,0.82665,0.67451,0.87976,0.78397,0.8348,0.63553
m,0,SoftTissue,0.66801,0.45433,0.8197,0.60465,0.66038,0.4124
m,0,Vessel,0.72829,0.48486,0.80665,0.64439,0.68871,0.33659
m,0,Dura,0.71422,0.50858,0.82968,0.62797,0.68973,0.42701
m,0,Fat,0.67661,0.41237,0.79545,0.61827,0.69119,0.37704
m,0,BF,0.63027,0.33506,0.83825,0.58462,0.65995,0.28898
m,0,Care,0.94409,0.88636,0.80034,0.85714,0.94409,0.88962
m,1,Instrument,0.95038,0.85954,0.95411,0.925,0.95443,0.86592
m,1,Bone,0.83149,0.64521,0.8758,0.80226,0.82589,0.60494
m,1,LF,0.83139,0.67249,0.83747,0.78571,0.82665,0.62934
m,1,SoftTissue,0.67182,0.44928,0.79264,0.60465,0.66487,0.40497
m,1,Vessel,0.74805,0.4902,0.81193,0.68258,0.74346,0.34538
m,1,Dura,0.71042,0.48877,0.80149,0.62797,0.68912,0.43285
m,1,Fat,0.68079,0.4088,0.78103,0.64104,0.6741,0.37121
m,1,BF,0.62843,0.32306,0.77096,0.56154,0.63978,0.27487
m,1,Care,0.995,0.981,0.96664,1.0,0.995,0.96467
m,2,Instrument,0.94233,0.85453,0.92267,0.925,0.95435,0.85773
m,2,Bone,0.8499,0.66248,0.87328,0.82036,0.84998,0.63485
m,2,LF,0.83085,0.67468,0.86506,0.81176,0.83961,0.64114
m,2,SoftTissue,0.66936,0.47232,0.7901,0.62373,0.67289,0.41654
m,2,Vessel,0.76126,0.50929,0.79092,0.68019,0.71829,0.34738
m,2,Dura,0.70168,0.49792,0.78451,0.65172,0.68839,0.43741
m,2,Fat,0.69149,0.41155,0.75907,0.66129,0.69265,0.37794
m,2,BF,0.57852,0.30353,0.73306,0.54925,0.57063,0.25533
m,2,Care,0.93667,0.8485,0.64793,0.85714,0.855,0.83617
m,3,Instrument,0.93885,0.87519,0.95492,0.93125,0.95596,0.86962
m,3,Bone,0.85204,0.68332,0.90683,0.81593,0.85072,0.64746
m,3,LF,0.83756,0.68132,0.87152,0.8149,0.84122,0.64816
m,3,SoftTissue,0.64333,0.44326,0.78067,0.61047,0.62926,0.40444
m,3,Vessel,0.7601,0.51437,0.78396,0.72315,0.74168,0.36471
m,3,Dura,0.72545,0.51053,0.78832,0.69129,0.69467,0.44249
m,3,Fat,0.65993,0.40301,0.75576,0.67512,0.67236,0.38038
m,3,BF,0.56993,0.29472,0.73344,0.61381,0.59896,0.25878
m,3,Care,0.96,0.9425,0.8726,0.98076,0.96,0.9425
m,4,Instrument,0.93645,0.8669,0.94372,0.93125,0.95541,0.85944
m,4,Bone,0.8295,0.65361,0.87981,0.8024,0.83329,0.63284
m,4,LF,0.83718,0.68408,0.89611,0.81212,0.8511,0.65783
m,4,SoftTissue,0.67699,0.463,0.79422,0.60587,0.65936,0.41133
m,4,Vessel,0.75295,0.50772,0.83201,0.68559,0.7334,0.35448
m,4,Dura,0.7046,0.50112,0.80026,0.63852,0.68354,0.44092
m,4,Fat,0.64526,0.38758,0.82287,0.65297,0.66382,0.35851
m,4,BF,0.6636,0.32953,0.78236,0.55305,0.61358,0.25857
m,4,Care,0.995,0.953,1.0,0.96602,0.995,0.94483
l,0,Instrument,0.94311,0.86567,0.93879,0.9125,0.948,0.86724
l,0,Bone,0.84847,0.67566,0.88258,0.82036,0.86398,0.64188
l,0,LF,0.83888,0.68233,0.86225,0.80519,0.84011,0.6509
l,0,SoftTissue,0.67106,0.4596,0.81229,0.59302,0.66242,0.41359
l,0,Vessel,0.75752,0.50662,0.8342,0.64844,0.7236,0.35733
l,0,Dura,0.72173,0.50454,0.79197,0.63061,0.6851,0.42866
l,0,Fat,0.67749,0.4071,0.7811,0.63825,0.68902,0.3785
l,0,BF,0.59336,0.32947,0.81814,0.55369,0.61745,0.24893
l,0,Care,0.9775,0.91625,0.82859,1.0,0.9775,0.953
l,1,Instrument,0.95309,0.86988,0.93728,0.93399,0.95251,0.86838
l,1,Bone,0.84816,0.67312,0.87644,0.807,0.83984,0.64053
l,1,LF,0.8313,0.67986,0.88224,0.80271,0.83792,0.64317
l,1,SoftTissue,0.67193,0.47428,0.78347,0.59955,0.6522,0.41524
l,1,Vessel,0.76905,0.52141,0.85251,0.68977,0.73784,0.36313
l,1,Dura,0.72891,0.51389,0.78902,0.66111,0.6835,0.44202
l,1,Fat,0.68452,0.41993,0.78234,0.65668,0.68432,0.37788
l,1,BF,0.60918,0.33309,0.73041,0.5419,0.58328,0.2737
l,1,Care,0.9775,0.94075,0.9141,0.85714,0.9775,0.92442
l,2,Instrument,0.93868,0.86576,0.94761,0.90444,0.94929,0.86589
l,2,Bone,0.85178,0.66699,0.87453,0.8024,0.8442,0.64168
l,2,LF,0.82644,0.67244,0.86133,0.79545,0.83018,0.64059
l,2,SoftTissue,0.68109,0.46477,0.79468,0.61337,0.664,0.41372
l,2,Vessel,0.7695,0.50681,0.83363,0.6611,0.71442,0.34674
l,2,Dura,0.72292,0.51127,0.81861,0.66755,0.6991,0.43772
l,2,Fat,0.66946,0.39999,0.76304,0.63825,0.66687,0.36486
l,2,BF,0.67594,0.33279,0.75154,0.58462,0.62999,0.28271
l,2,Care,0.9425,0.9425,0.8357,1.0,0.9425,0.923
l,3,Instrument,0.94419,0.86681,0.95072,0.925,0.96597,0.87754
l,3,Bone,0.84908,0.67816,0.90585,0.80659,0.85587,0.63757
l,3,LF,0.82218,0.66401,0.86016,0.77886,0.82274,0.64386
l,3,SoftTissue,0.65551,0.45008,0.8253,0.59012,0.65531,0.40402
l,3,Vessel,0.77062,0.51162,0.84185,0.66826,0.73424,0.35015
l,3,Dura,0.70442,0.49854,0.81782,0.63852,0.67913,0.42829
l,3,Fat,0.68871,0.41679,0.80485,0.62442,0.67453,0.38091
l,3,BF,0.60566,0.31575,0.8514,0.56923,0.64254,0.26778
l,3,Care,0.91667,0.9085,0.80205,0.85714,0.91667,0.8965
l,4,Instrument,0.93699,0.86591,0.94522,0.91875,0.95395,0.87018
